Year,CO2 Forcing.Atmos CO2 exogenous
1750,284.3169987996419
1751,284.3169987996419
1752,284.3169987996419
1753,284.3169987996419
1754,284.3169987996419
1755,284.3169987996419
1756,284.3169987996419
1757,284.3169987996419
1758,284.3169987996419
1759,284.3169987996419
1760,284.3169987996419
1761,284.3169987996419
1762,284.3169987996419
1763,284.3169987996419
1764,284.3169987996419
1765,284.3169987996419
1766,284.3169987996419
1767,284.3169987996419
1768,284.3169987996419
1769,284.3169987996419
1770,284.3169987996419
1771,284.3169987996419
1772,284.3169987996419
1773,284.3169987996419
1774,284.3169987996419
1775,284.3169987996419
1776,284.3169987996419
1777,284.3169987996419
1778,284.3169987996419
1779,284.3169987996419
1780,284.3169987996419
1781,284.3169987996419
1782,284.3169987996419
1783,284.3169987996419
1784,284.3169987996419
1785,284.3169987996419
1786,284.3169987996419
1787,284.3169987996419
1788,284.3169987996419
1789,284.3169987996419
1790,284.3169987996419
1791,284.3169987996419
1792,284.3169987996419
1793,284.3169987996419
1794,284.3169987996419
1795,284.3169987996419
1796,284.3169987996419
1797,284.3169987996419
1798,284.3169987996419
1799,284.3169987996419
1800,284.3169987996419
1801,284.3169987996419
1802,284.3169987996419
1803,284.3169987996419
1804,284.3169987996419
1805,284.3169987996419
1806,284.3169987996419
1807,284.3169987996419
1808,284.3169987996419
1809,284.3169987996419
1810,284.3169987996419
1811,284.3169987996419
1812,284.3169987996419
1813,284.3169987996419
1814,284.3169987996419
1815,284.3169987996419
1816,284.3169987996419
1817,284.3169987996419
1818,284.3169987996419
1819,284.3169987996419
1820,284.3169987996419
1821,284.3169987996419
1822,284.3169987996419
1823,284.3169987996419
1824,284.3169987996419
1825,284.3169987996419
1826,284.3169987996419
1827,284.3169987996419
1828,284.3169987996419
1829,284.3169987996419
1830,284.3169987996419
1831,284.3169987996419
1832,284.3169987996419
1833,284.3169987996419
1834,284.3169987996419
1835,284.3169987996419
1836,284.3169987996419
1837,284.3169987996419
1838,284.3169987996419
1839,284.3169987996419
1840,284.3169987996419
1841,284.3169987996419
1842,284.3169987996419
1843,284.3169987996419
1844,284.3169987996419
1845,284.3169987996419
1846,284.3169987996419
1847,284.3169987996419
1848,284.3169987996419
1849,284.3169987996419
1850,284.3169987996419
1851,287.1601687876383
1852,290.0317704755147
1853,292.9320881802699
1854,295.86140906207254
1855,298.8200231526933
1856,301.80822338422024
1857,304.8263056180624
1858,307.87456867424305
1859,310.9533143609855
1860,314.0628475045953
1861,317.20347597964127
1862,320.3755107394377
1863,323.5792658468321
1864,326.81505850530044
1865,330.0832090903534
1866,333.384041181257
1867,336.71788159306954
1868,340.0850604090002
1869,343.48591101309023
1870,346.92077012322113
1871,350.3899778244534
1872,353.8938776026979
1873,357.43281637872485
1874,361.00714454251215
1875,364.6172159879373
1876,368.2633881478167
1877,371.94602202929485
1878,375.6654822495877
1879,379.4221370720837
1880,383.2163584428045
1881,387.0485220272325
1882,390.9190072475049
1883,394.8281973199799
1884,398.7764792931797
1885,402.7642440861115
1886,406.79188652697263
1887,410.8598053922424
1888,414.9684034461648
1889,419.11808748062646
1890,423.3092683554327
1891,427.5423610389871
1892,431.8177846493769
1893,436.1359624958707
1894,440.49732212082944
1895,444.9022953420377
1896,449.3513182954581
1897,453.8448314784127
1898,458.3832797931968
1899,462.9671125911288
1900,467.59678371704007
1901,472.2727515542105
1902,476.99547906975255
1903,481.76543386045006
1904,486.5830881990546
1905,491.4489190810452
1906,496.3634082718556
1907,501.3270423545741
1908,506.34031277812
1909,511.4037159059011
1910,516.5177530649602
1911,521.6829305956097
1912,526.8997599015659
1913,532.1687575005816
1914,537.4904450755873
1915,542.8653495263432
1916,548.2940030216066
1917,553.7769430518227
1918,559.314712482341
1919,564.9078596071644
1920,570.5569382032361
1921,576.2625075852684
1922,582.025132661121
1923,587.8453839877322
1924,593.7238378276096
1925,599.6610762058857
1926,605.6576869679446
1927,611.7142638376241
1928,617.8314064760003
1929,624.0097205407602
1930,630.2498177461679
1931,636.5523159236296
1932,642.917839082866
1933,649.3470174736946
1934,655.8404876484316
1935,662.3988925249158
1936,669.0228814501651
1937,675.7131102646666
1938,682.4702413673133
1939,689.2949437809864
1940,696.1878932187963
1941,703.1497721509843
1942,710.1812698724942
1943,717.2830825712191
1944,724.4559133969314
1945,731.7004725309007
1946,739.0174772562095
1947,746.4076520287717
1948,753.8717285490594
1949,761.41044583455
1950,769.0245502928956
1951,776.7147957958246
1952,784.4819437537827
1953,792.3267631913205
1954,800.2500308232338
1955,808.2525311314662
1956,816.3350564427808
1957,824.4984070072086
1958,832.7433910772806
1959,841.0708249880536
1960,849.4815332379341
1961,857.9763485703133
1962,866.5561120560166
1963,875.2216731765767
1964,883.9738899083426
1965,892.813628807426
1966,901.7417650955002
1967,910.7591827464552
1968,919.8667745739198
1969,929.065442319659
1970,938.3560967428556
1971,947.7396577102842
1972,957.2170542873872
1973,966.7892248302608
1974,976.4571170785634
1975,986.2216882493492
1976,996.0839051318426
1977,1006.0447441831612
1978,1016.1051916249928
1979,1026.2662435412426
1980,1036.528905976655
1981,1046.8941950364217
1982,1057.3631369867858
1983,1067.9367683566538
1984,1078.6161360402202
1985,1089.4022974006225
1986,1100.2963203746287
1987,1111.299283578375
1988,1122.412276414159
1989,1133.6363991783005
1990,1137.2679951985676
1991,1133.6363991783005
1992,1122.412276414159
1993,1111.299283578375
1994,1100.2963203746287
1995,1089.4022974006225
1996,1078.6161360402202
1997,1067.9367683566538
1998,1057.3631369867858
1999,1046.8941950364217
2000,1036.528905976655
2001,1026.2662435412426
2002,1016.1051916249928
2003,1006.0447441831612
2004,996.0839051318426
2005,986.2216882493492
2006,976.4571170785634
2007,966.7892248302608
2008,957.2170542873872
2009,947.7396577102842
2010,938.3560967428556
